,Product Category,MPU/MCU,Document No.,TN-RA *- A0028A/E,Rev.,1.00
1,Title,"RA4M2 Group, RA4M3 Group, RA6M4 Group, RA6M5 Group, correction of SRAM Parity Error Operation After Detection Register (PARIOAD)",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA4M2 Group RA4M3 Group RA6M4 Group All RA6M5 Group,Reference Document,RA4M2 Group User's Manual Hardware Rev.1.10,,
3,,,,RA4M3 Group User's Manual Hardware Rev.1.20 RA6M4 Group User's Manual Hardware Rev.1.10 RA6M5 Group User's Manual Hardware Rev.1.10,,
