,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,100-pin LGA PTLG0100JA-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),32.9
2,100-pin LQFP PLQP0100KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),50.9
3,64-pin LQFP PLQP0064KB-C,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),52.1
4,64-pin QFN PWQN0064LA-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),22.0
