,PSEL[4:0] settings,Function,Pin,,,,,,,
1,,,P300,P301,P302,P303,P304,P305,P306,P307
2,00000b (value after reset),Hi-Z/JTAG/SWD,TCK/SWCLK,Hi-Z,,,,,,
3,00001b,AGT,-,AGTIOO,-,-,AGTEE2,AGTOB2,AGTOA2,AGTEE4
4,00010b,GPT'2,GTOUUP,GTOULO,GTOUUP,-,GTOWLO,GTOWUP,GTOULO,GTOUUP
5,00011b,GPT'2,GTIOCDA,GTIOCAB,GTIOC4A,GTIOC7B,GTIOCTA,-,-,-
6,00100b,SCI,,RXD2/MISO2/SCL2/ RXDX2,TXD2/MOSI2/ SDA2/TXDX2/ SIOX2,-,RXD6/MISO6/ SCL6,TXD6/MOSI6/ SDA6,SCK6,CTS6_RTS6/ SS6
