,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,64-pin LQFP PLQP0064KB-C,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),41.3
2,48-pin LQFP PLQP0048KB-B,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),62.1
3,32-pin LQFP PLQP0032GB-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),61.5
4,48-pin QFN PWQN0048KC-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),29.7
5,32-pin QFN PWQN0032KE-A,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),36.8
