,Product Category,MPU/MCU,Document No.,TN-RA *- A0012A/E,Rev.,1.00
1,Title,"RA6M1 Group, RA6M2 Group, RA6M3 Group, adding LGA/BGA packages with operating temperature -40 to +105 C support",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6M1 Group RA6M2 Group RA6M3 Group All,Reference Document,RA6M1 Group User's Manual Hardware Rev.1.00 RA6M2 Group User's Manual Hardware Rev.1.00 RA6M3 Group User's Manual Hardware Rev.1.10,,
