,Product Category,MPU/MCU,Document No.,TN-RA *- A0076A/E,Rev.,1.00,
1,Title,The update on how to access RDR and TDR of SCI on the RA6T2 Group MCU Products,Information Category,Technical Notification,,,
2,Applicable Product,RA6T2 Group,Reference Document,RA6T2 Group User's Manual : Hardware Rev.1.30,,,Lot No. All
