,Product Category,MPU/MCU,Document No.,TN-RA *- A0033A/E,Rev.,1.00
1,Title,"RA2A1 Group, RA2L1 Group, RA2E1 Group, RA4M1 Group, RA4W1 Group, addition of SPI Data Control Register (SPDCR) bit",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA2A1 Group RA2L1 Group RA2E1 Group RA4M1 Group All RA4W1 Group,Reference Document,RA2A1 Group User's Manual Hardware Rev.1.00 RA2L1 Group User's Manual Hardware Rev.1.10 RA2E1 Group User's Manual Hardware Rev.1.10 RA4M1 Group User's Manual Hardware Rev.1.00 RA4W1 Group User's Manual Hardware Rev.1.00,,
