,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA6M5AH3CBM,PLBG0144KB-A,2 MB,8 KB,512 KB
2,R7FA6M5AG3CBM,PLBG0144KB-A,1.5 MB,8 KB,512 KB
3,R7FA6M5BH3CBM,PLBG0144KB-A,2 MB,8 KB,512 KB
4,R7FA6M5BG3CBM,PLBG0144KB-A,1.5 MB,8 KB,512 KB
5,R7FA6M5BF3CBM,PLBG0144KB-A,1 MB,8 KB,512 KB
