,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA6M4AF3CBM,PLBG0144KB-A,1 MB,8 KB,256 KB
2,R7FA6M4AE3CBM,PLBG0144KB-A,768 KB,8 KB,256 KB
3,R7FA6M4AD3CBM,PLBG0144KB-A,512 KB,8 KB,256 KB
