,Product Category,MPU/MCU,Document No.,TN-RA *- A0097A/E,Rev.,1.00
1,Title,"Correction for ""CoreSight ROM table"" in RA2 group User's Manual",Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA Family RA2A1/RA2L1/RA2E1/RA2E2 Group All lots,Reference Document,-Renesas RA2A1 Group User's Manual: Hardware R01UH0888EJ0110 Rev.1.10 -Renesas RA2L1 Group User's Manual: Hardware R01UH0853EJ0130 Rev.1.30 -Renesas RA2E1 Group User's Manual: Hardware R01UH0852EJ0130 Rev.1.30 -Renesas RA2E2 Group User's Manual: Hardware R01UH0919EJ0120 Rev.1.20,,
