,Package,Enclosure Environment,PWB Environment,0 ja[degC/W]
1,100-pin LQFP,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),50.9
2,PLQP0100KB-B,,,
3,64-pin LQFP PLQP0064KB-C,304.8*304.8*304.8mm (JESD51-2 compliant),4 layers (JESD 51-7 compliant),52.1
