,Applicable Products,Manual Title (Document Number)
1,"RX65N Group, RX651 Group","RX65N Group, RX651 Group User's Manual: Hardware Rev.2.30 (R01UH0590EJ0230)"
2,RX66N Group,RX66N Group User's Manual: Hardware Rev1.00 (R01UH0825EJ0100)
3,RX66T Group,RX66T Group User's Manual: Hardware Rev1.10 (R01UH0749EJ0110)
4,RX72M Group,RX72M Group User's Manual: Hardware Rev1.00 (R01UH0804EJ0100)
5,RX72N Group,RX72N Group User's Manual: Hardware Rev1.00 (R01UH0824EJ0100)
6,RX72T Group,RX72T Group User's Manual: Hardware Rev1.00 (R01UH0803EJ0100)
