,Group,Part number
1,RX64M,"R5F564MF, R5F564MG, R5F564MJ, R5F564ML"
2,RX651,"R5F56514, R5F56517, R5F56519, R5F5651C, R5F5651E"
3,RX65N,"R5F565N4, R5F565N7, R5F565N9, R5F565NC, R5F565NE"
4,RX66T,"R5F566TA, R5F566TE, R5F566TFA, R5F566TFB, R5F566TFC, R5F566TFE, R5F566TFF, R5F566TFG, R5F566TKA, R5F566TKB, R5F566TKC, R5F566TKE, R5F566TKF, R5F566TKG"
5,RX71M,"R5F571MF, R5F571MG, R5F571MJ, R5F571ML"
