,Product Category,MPU/MCU,Document No.,TN-RX *- A043A/E,Rev.,1.00
1,Title,Notes on Using Event Link Controller (ELC) for RX210 Group,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RX210 Group All,Reference Document,RX210 Group User's Manual: Hardware Rev.1.10 (R01UH0037EJ0110),,
