,Address,Module Symbol,Register Name,Register Symbol
1,0008 8014h,CMT2,Compare Match Timer Counter,CMCNT
2,0008 8114h,TPU0,Timer Interrupt Enable Register,TIER
3,0008 8154h,TPU4,Timer Interrupt Enable Register,TIER
4,0008 8214h,TMR2,Time Constant Register A,TCORA
5,0008 8214h,TMR23,Time Constant Register A,TCORA
6,0008 8514h,MMCIF,Transfer Block Setting Register,CEBLOCKSET
7,0008 9014h,S12AD,A/D Channel Select Register B0,ADANSB0
8,0008 9094h,S12AD,A/D Compare Channel Select Register 0,ADCMPANSR0
9,0008 9114h,S12AD1,A/D Channel Select Register B0,ADANSB0
10,0008 9194h,S12AD1,A/D Compare Channel Select Register 0,ADCMPANSR0
11,0008 9E14h,QSPI,QSPI Command Register 2,SPCMD2
12,0008 AC14h,SDHI,Block Count Register,SDBLKCNT
13,0008 B114h,ELC,Event Link Setting Register 19,ELSR19
14,0008 C094h,PORTA,Open-Drain Control Register 0,ODR0
15,0008 C154h,MPC,P24 pin Function Control Register,P24PFS
16,0008 C194h,MPC,PA4 pin Function Control Register,PA4PFS
17,0008 C414h,RTC,Hour Alarm Register,RHRAR
18,0008 C414h,RTC,Binary Counter 2 Alarm Register,BCNT2AR
19,0008 C454h,RTC,Minute Capture Register 0,RMINCP0
20,0008 C454h,RTC,BCNT1Capture Register 0,BCNT1CP0
21,0008 C4D4h,POE3,Port Output Enable Control Register 6,POECR6
22,0009 0854h,CAN0,Time Stamp Resister,TSR
23,0009 1854h,CAN1,Time Stamp Resister,TSR
24,0009 2854h,CAN2,Time Stamp Resister,TSR
25,0009 4214h,CMTW0,Compare Match Constant Register,CMWCOR
26,0009 4294h,CMTW1,Compare Match Constant Register,CMWCOR
