,Product part number,Package code,Code flash,Data flash,SRAM,Operating temperature
1,R7FA6M3AH3CBG,PLBG0176GE-A,2MB,64KB,640KB,-40 to +105C
2,R7FA6M3AH3CFC,PLQP0176KB-A,,,,
3,R7FA6M3AH3CLK,PTLG0145KA-A,,,,
4,R7FA6M3AH3CFB,PLQP0144KA-B,,,,
5,R7FA6M3AH3CFP,PLQP0100KB-B,,,,
6,R7FA6M3AF3CBG,PLBG0176GE-A,1MB,64KB,640KB,-40 to +105C
7,R7FA6M3AF3CFC,PLQP0176KB-A,,,,
8,R7FA6M3AF3CLK,PTLG0145KA-A,,,,
9,R7FA6M3AF3CFB,PLQP0144KA-B,,,,
10,R7FA6M3AF3CFP,PLQP0100KB-B,,,,
