,No.,Main applications,Assumed temperature profile,Recommended temperature profile for derating
1,1,"Cooking equipment (kitchen stoves, IH heaters)",An operating time of 3 hours/day in a high-temperature environment. Standby or stopped at other times.,"-40degC(1) <= Tj <= 125C for 3 hours/day. At other times, standby or stopped at -40degC(1)<= Tj <= 90C"
2,2,"Appliance motors, power tools",Used for 3 hours/day in a high-temperature environment. Used for 3 hours/day in a non-high-temperature environment. Standby or stopped at other times.,"115degC < Tj <= 125C for 3 hours/day. -40degC <= Tj <= 115C for 3 hours/day. At other times, standby or stopped at -40degC <= Tj <= 90C"
3,3,EV chargers,Used for 8 hours/day in a high-temperature environment. Standby or stopped at other times.,"115degC < Tj <= 125C for 4 hours/day. -40degC <= Tj <= 115C for 4 hours/day. At other times, standby or stopped at -40degC <= Tj <= 85degC"
4,4,"Smart meters, power converters, and equipment that may be installed outdoors (24-hour operation)",Used for 4 hours/day in a high-temperature environment. Used for 4 hours/day in a non-high-temperature environment. Also operating at other times.,"115degC < Tj <= 125degC for 4 hours/day. -40degC <= Tj <= 115C for 4 hours/day. At other times, operating at -40degC <= Tj <= 100degC"
5,5,PC and server power supplies (24-hour operation),Used continuously for 5 years in an environment that includes high-temperature periods.,"115degC < Tj <= 125C 15,000 hours -40degC <= Tj <= 115C 30,000 hours"
6,6,Industrial motors (24-hour operation: example 1),Used continuously in a high-temperature environment.,102degC < Tj <= 112degC 80% -40degC <= Tj <= 102C 20% *Used continuously for 10 years
7,7,Industrial motors (24-hour operation: example 2),Used continuously in an environment that includes extreme high-temperature periods.,110C < Tj <= 125degC 5% 105degC < Tj <= 110C 75% -40degC <= Tj <= 105degC 20% *Used continuously for 10 years
8,8,Industrial motors (24-hour operation: example 3),Used continuously in a high-temperature environment.,Tj <= 110C 100% *Used continuously for 10 years
