,1.,QE for USB,2
1,1.1,Summary,2
2,1.2,Operating Environments,2
3,1.3,Supported MCUs,2
4,1.4,Supported USB Firmware,3
5,1.5,New Function of QE for USB V1.2.1,3
6,1.6,Cautionary Notes,3
7,2.,Installation,4
8,2.1,Installing This Product,4
9,2.2,Uninstalling This Product,4
10,3.,Regarding the Questionnaire about the Technical Preview Edition,6
11,3.1,Positioning of This Product,6
12,3.2,Request to Fill out the Questionnaire after Using This Product,6
