,Part number,Package
1,DA14706-00HZDEVKT-P,"Bluetooth Low Energy DA14706 Development Kit Pro. It contains a motherboard, DA14706 daughterboard, current sensing board and a display board"
2,DA14706-00HZDB-P,Bluetooth Low Energy DA14706 daughter board
3,DA14708-00HZDB-P,Bluetooth Low Energy DA14708 daughter board
