,Name,Address,Access size,R/W,Initial value
1,PIDR6,0x4001_BFD8,32 bits,R,0x00000000
2,PIDR7,0x4001_BFDC,32 bits,R,0x00000000
3,PIDRO,0x4001_BFE0,32 bits,R,0x00000005
4,PIDR1,0x4001_BFE4,32 bits,R,0x00000030
5,PIDR2,0x4001_BFE8,32 bits,R,0x0000001A
6,PIDR3,0x4001_BFEC,32 bits,R,0x00000000
7,CIDRO,0x4001_BFF0,32 bits,R,0x0000000D
8,CIDR1,0x4001_BFF4,32 bits,R,0x000000F0
9,CIDR2,0x4001_BFF8,32 bits,R,0x00000005
10,CIDR3,0x4001_BFFC,32 bits,R,0x000000B1
