,Group,Manual Title,Rev.,Document Number,Section Number (Page Number)
1,RX113 Group,RX113 Group User's Manual: Hardware,Rev. 1.20,R01UH0448EJ0120,35.2.18 (P.1214)
2,RX130 Group,RX130 Group User's Manual: Hardware,Rev.3.00,R01UH0560EJ0300,32.2.18 (P.1068)
3,"RX230 Group, RX231 Group","RX230 Group, RX231 Group User's Manual: Hardware",Rev.1.20,R01UH0496EJ0120,42.2.18 (P.1624)
4,RX23W Group,RX23W Group User's Manual: Hardware,Rev.1.10,R01UH0823EJ0110,43.2.24 (P.1529)
5,RX671 Group,RX671 Group User's Manual: Hardware,Rev.1.10,R01UH0899EJ0110,47.2.20 (P.2614)
