,Product Category,MPU/MCU,Document No.,TN-RA *- A0086A/E,Rev.,1.00,
1,Title,"Correction for ""Serial Peripheral Interface (SPI)"" in RA2A1 User's Manual",Information Category,Technical Notification,,,
2,Applicable Product,RA Family RA2A1 Group,Reference Document,-Renesas RA2A1 Group User's Manual: Hardware R01UH0888EJ0100 Rev.1.00,,,Lot No.
3,,,,,,,All lots
