,Name,Address,Access size,R/W,Initial value
1,PIDR4,0x8000_0FD0,32 bits,R,0x00000004
2,PIDR5,0x8000_0FD4,32 bits,R,0x00000000
3,PIDR6,0x8000_0FD8,32 bits,R,0x00000000
4,PIDR7,0x8000_0FDC,32 bits,R,0x00000000
5,PIDRO,0x8000_0FE0,32 bits,R,0x00000004
6,PIDR1,0x8000_0FE4,32 bits,R,0x00000030
7,PIDR2,0x8000_0FE8,32 bits,R,0x0000000A
8,PIDR3,0x8000_0FEC,32 bits,R,0x00000000
9,CIDRO,0x8000_OFF0,32 bits,R,0x0000000D
10,CIDR1,0x8000_0FF4,32 bits,R,0x000000F0
11,CIDR2,0x8000_OFF8,32 bits,R,0x00000005
12,CIDR3,0x8000_OFFC,32 bits,R,0x000000B1
