,Group,Manual Title (Document Number),Page Number,Section Number,Table Number
1,RX72M Group,RX72M Group User's Manual: Hardware Rev.1.11 (R01UH0804EJ0111),Page 3243 of 3362,64.17.2,Table 64.25
2,RX72N Group,RX72N Group User's Manual: Hardware Rev.1.11 (R01UH0824EJ0111),Page 3115 of 3232,62.17.2,Table 62.25
3,RX66N Group,RX66N Group User's Manual: Hardware Rev. 1.11 (R01UH0825EJ0110),Page 2941 of 3058,60.17.2,Table 60.25
