,Product Category,MPU/MCU,Document No.,TN-RA *- A0011A/E,Rev.,1.00,
1,Title,"RA6M2, Errata for User's Manual: Hardware for Orderable part number",Information Category,Technical Notification,,,
2,Applicable Product,RA6M2 Group,Reference Document,RA6M2 Group User's Manual Hardware Rev.1.00,,,Lot No. All
