,Product Category,MPU/MCU,Document No.,TN-RL *- A078A/E,Rev.,1.00,
1,Title,Regarding the precaution addition of 32-bit multiply-accumulator interrupt operation,Information Category,Technical Notification,,,
2,Applicable Product,RL78/I1C R5F10Nxx,Reference Document,"RL78/11C User's Manual: Hardware Rev. 1.00 R01UH0587EJ0100 May 27, 2016",,,Lot No. All lots
