,32,D15,P400,GTIOC9A,SCLAO,IRQO
1,31,D14,P401,GTIOC9B,SDAAO,IRQ5
2,30,ADREF,P010,AVREFP,,
3,29,GND,GND,,,
4,28,D13,P102,GTIOCSB,SCKO,
5,27,D12,P100,KRO,SCK1,MISOO
6,26,D11,P101,GTIOC8A,MOSIO,KR1
7,25,D10,P103,GTIOC5A,RCTSO,KR3
8,24,D9,P501,GTIOC5B,,
9,23,D8,P403,,,
10,22,D7,P113,,,
11,21,D6,P500,GTIOCSA,,
12,20,D5,P302,GTIOCZA,IRQ5,
13,19,D4,P107,,KR7,
14,18,D3,P104,GTIOC4B,KR4,
15,17,D2,P409,IRQ6,,
16,16,D1,P109,GTIOC4A,TxD9,SDA9
17,15,DO,P110,GTIOC4B,RxD9,SCL9
