,Part number,Package,Pitch(mm),Size (mm),Shipment,Pack Quantity
1,DA14531-00000FX2,FCGQFN24,0.4,2.2*3,Reel,4k
2,DA14531-00000OG2,WLCSP17,0.5,1.7*2.05,Reel,4k
