,CTSUI,:unselected:,:unselected:,:unselected:,:unselected:,:unselected:,"CTSU
:unselected:",CTSU,CTSU,CTSU,CTSUSPMD[1:0
1,COMP,,,,,,TSOC,CLKS,DRV,TSOD,1
2,,,,,,,,"EL1
:unselected:",,,
