,Part number,Description
1,DA14531MOD-00DEVKT-P Development Kit is based on module samples,"Bluetooth Low Energy Development Kit Pro for DA14531 SmartBond TINYTM Module: Includes motherboard, daughterboard and cables; Primary usage is SW application development and power measurements"
2,DA14531MOD-00F1DB-P,DA14531 Module Daughterboard for Pro Development Kit
