,Product Category,MPU/MCU,Document No.,TN-RA *- A0070A/E,Rev.,1.00,
1,Title,"RA6M4 Group, RA4M3 Group, RA6M5 Group, correction of Thermal Resistance Value",Information Category,Technical Notification,,,
2,Applicable Product,RA6M4 Group RA4M3 Group RA6M5 Group,Reference Document,RA6M4 Group User's Manual Hardware Rev.1.20 RA4M3 Group User's Manual Hardware Rev.1.30 RA6M5 Group User's Manual Hardware Rev.1.20,,,Lot No.
3,,,,,,,All
