,Product Category,MPU/MCU,Document No.,TN-RA *- A0078A/E,Rev.,1.00,
1,Title,"Correction for ""Serial Peripheral Interface (SPI)"" in RA2L1/RA2E1/RA2E2 User's Manual",Information Category,Technical Notification,,,
2,Applicable Product,RA Family RA2L1/RA2E1/RA2E2 Group,Reference Document,-Renesas RA2L1 Group User's Manual: Hardware R01UH0853EJ0130 Rev.1.30 -Renesas RA2E1 Group User's Manual: Hardware R01UH0852EJ0130 Rev.1.30 -Renesas RA2E2 Group User's Manual: Hardware R01UH0919EJ0120 Rev.1.20,,,Lot No.
3,,,,,,,All lots
