,Function,Signal,I/O,Description
1,ADC12,"AN000 to AN007, AN016 to AN020",Input,Input pins for the analog signals to be processed by the ADC12 AN005 & AN105 and AN006 & AN106 are assigned to same port pin
2,,"AN100 to AN103, AN105 to AN107, AN116 to AN119",Input,
