,Product Category,MPU/MCU,Document No.,TN-RX *- A019A/E,Rev.,1.00,
1,Title,The correction of errors in inquiry/selection host command wait state of boot mode,Information Category,Technical Notification,,,
2,Applicable Product,RX62T Group,Reference Document,RX62T Group User's Manual: Hardware (R01UH0034EJ0130),,,Lot No. All lots
