,Emulator,Page
1,E2 emulator,On chip Debuggers Performance Property - 1
2,E2 emulator Lite,On chip Debuggers Performance Property - 2
3,E,"On chip Debuggers Performance Property - 3, 4"
4,E20,"On chip Debuggers Performance Property - 5, 6"
5,MINICUBE2,On chip Debuggers Performance Property - 7
6,E10A-USB,"On chip Debuggers Performance Property - 8, 9"
7,EBa,On-chip Debuggers Performance Property - 10
