,Product Category,MPU/MCU,Document No.,TN-RA *- A0030A/E,Rev.,1.00,
1,Title,"RA6M3 Group, correction of Pin lists",Information Category,Technical Notification,,,
2,Applicable Product,RA6M3 Group,Reference Document,RA6M3 Group User's Manual Hardware Rev.1.10,,,Lot No. All
