,Certified to,Renesas Design Netherlands B.V.
1,Classification of specified radio equipment,Article 2-1-19
2,"Type of emission, frequency and antenna power",F1D 2402~2480MHz (2MHz interval 40 channels) 0.004W
3,Model Name,DA14695MOD-00F3200
4,Vendor Name,Renesas Design Netherlands B.V.
5,Certified Number,012-230008
6,Certified Date,2023/ 6/12
7,Remark,
