,Name,Address,Access size,R/W,Initial value
1,DEVTYPE,0xE00F_FFCC,32 bits,R,0x00000001
2,PID4,0xE00F_FFDO,32 bits,R,0x00000004
3,PID5,0xE00F_FFD4,32 bits,R,0x00000000
4,PID6,0xE00F_FFD8,32 bits,R,0x00000000
