,Configuration of RBIAS network for SKY6611x variants,
1,SKY66110,SKY66111
2,"R3 is the bias resistor, R7 is not placed, and R8 is 0 Ohm.","R3 is 0 Ohm, R7 is the bias resistor, and R8 is not placed."
