,Product Category,MPU/MCU,Document No.,TN-RL *- A057A/E,Rev.,1.00
1,Title,"The limitation regarding ""Clocked communication function with SPI function"" in Serial Array Unit (SAU)",Information Category,Technical Notification,,
2,Applicable Product,"Lot No. RL78/F13, F14 series -",Reference Document,Latest user's manual of applicable product,,
