,Part number,Size (mm),Shipment form,Pack Quantity,MOQ
1,DA14531MOD-00F01002,12.5 x 14.5 * 2.8,Reel,1000,1
2,DA14531MOD-00F0100C,12.5 x 14.5 *2.8,Reel,100,3
