,Product Category,MPU/MCU,Document No.,TN-RA *- A0025A/E,Rev.,1.00,
1,Title,"RA4M2 Group, Change of 48QFN permission junction temperature",Information Category,Technical Notification,,,
2,Applicable Product,RA4M2 Group,Reference Document,RA4M2 Group User's Manual Hardware Rev.1.10,,,Lot No. All
