,,IDE Support,,
1,Example Project,e2 studio/GCC,IAR,Keil MDK
2,FileX_block_media_qspi_LevelX,Supported,,
3,NetX_wifi,Supported,,
4,USBX_phid,Supported,,
5,USBX_pprn,Supported,,
6,quickstart,Supported,,
7,adc,Supported,,
8,adc_gpt_periodic_sampling,Supported,,
9,agt,Supported,Supported,Supported
10,audio_playback_pwm,Supported,,
11,baremetal,Supported,,
12,cac,Supported,,
13,can_fd,Supported,,
14,cpp,Supported,,
15,crc,Supported,,
16,dac,Supported,,
17,dac_agt_periodic_signal_generator,Supported,,
18,dmac,Supported,Supported,Supported
19,doc,Supported,,
20,elc,Supported,,
21,flash_hp,Supported,Supported,Supported
22,freertos,Supported,Supported,Supported
23,gpt,Supported,Supported,Supported
24,gpt_input_capture,Supported,,
25,i3c_master,Supported,,
26,i3c_slave,Supported,,
27,icu,Supported,Supported,Supported
28,iwdt,Supported,,
29,lpm,Supported,,
30,lvd,Supported,,
31,qspi,Supported,,
32,rtc,Supported,Supported,Supported
33,sci_i2c_master,Supported,,
34,sci_spi,Supported,Supported,Supported
35,sci_uart,Supported,Supported,Supported
36,spi,Supported,Supported,Supported
37,ssi,Supported,,
38,ssi_slave,Supported,,
