,Group,Part number
1,RH850/C1M-A,"R7F701275, R7F701278"
2,RH850/F1K,"R7F701542, R7F701543, R7F701546, R7F701547, R7F701557, R7F701560, R7F701561, R7F701562, R7F701563, R7F701566, R7F701567, R7F701577, R7F701580, R7F701581, R7F701582, R7F701583, R7F701586, R7F701587, R7F701597, R7F701602, R7F701603, R7F701610, R7F701611, R7F701612, R7F701613, R7F701620, R7F701621, R7F701622, R7F701623"
3,RH850/F1KM-S1,"R7F701684, R7F701685, R7F701686, R7F701687, R7F701688, R7F701689, R7F701690, R7F701691, R7F701692, R7F701693, R7F701694, R7F701695"
4,RH850/P1L-C,"R7F701388, R7F701389, R7F701390, R7F701391"
5,RH850/P1M-E,"R7F701375, R7F701376, R7F701377, R7F701378, R7F701379, R7F701380, R7F701381, R7F701382, R7F701383, R7F701384, R7F701385, R7F701386"
