,Product Category,MPU/MCU,Document No.,TN-RX *- A151A/E,Rev.,1.00
1,Title,Note on Stopping Reception When the RTS Function of the Serial Communications Interface (SCI) is in Use in Asynchronous mode(UART),Information Category,Technical Notification,,
2,Applicable Product,"RX71M Group, RX64M Group, Lot No. RX630 Group, RX63N Group, RX631 Group, RX634 Group, RX63T Group, RX210 Group, RX21A Group, RX220 Group, RX230 Group, RX231 Group, All RX23T Group, RX24T Group, RX110 Group, RX111 Group, RX113 Group, RX130 Group",Reference Document,See below,,
