,Item,Clock source,Clock supply,Specification
1,CAC HOCO clock (CACHCLK),HOCO,CAC,24/32/48/64 MHZ
2,CAC IWDTLOCO clock (CACILCLK),IWDTLOCO,CAC,15 kHz
3,RTC clock (RTCSCLK/ RTCS128CLK/RTCLCLK),SOSC/LOCO,RTC,32.768 kHz / 128 Hz
4,IWDT clock (IWDTCLK),IWDTLOCO,IWDT,15 kHz
5,SysTick timer clock (SYSTICCLK),LOCO,SysTick timer,32.768 kHz
6,Clock/buzzer output (CLKOUT),MOSC/SOSC/LOCO/MOCO/ HOCO,CLKOUT pin,Up to 16 MHZ Division ratios: 1/2/4/8/16/32/64/128
7,Serial wire clock (SWCLK),SWCLK pin,OCD,Up to 12.5 MHZ
