,#,File Name,Description
1,1,CodeLess_v_6.380.8.4.0.zip,RELEASE FILE
2,2,DA1458x-Codeless-SW-Release-Notes-v_6.380.8.4.0.pdf,RELEASE NOTES
3,3,codeless_585_v6.380.8.4.0.hex,RELEASE FILE
