,Product category,MPU/MCU,Document No.,TN-RX *- A083A/E,Rev.,1.00,
1,Title,Usage Notes on Group-A Priority Control of 12-Bit A/D Converter,,Information category,,,Technical Notification
2,Applicable Product,RX63T Group,Lot No.,Reference Document,,,RX63T Group User's Manual: Hardware Rev.2.10 (R01UH0238JJ0210)
3,,,All lots,,,,
