,Product Category,MPU/MCU,Document No.,TN-RX *- A084A/E,Rev.,1.00,
1,Title,Usage Notes on 12-Bit A/D Converter,Information Category,Technical Notification,,,
2,Applicable Product,RX62T Group RX62G Group RX63T Group,Reference Document,RX62T Group User's Manual: Hardware Rev. 1.30 (R01UH0034EJ0130) RX62G Group User's Manual: Hardware Rev. 1.00 (R01UH0321EJ0100) RX63T Group User's Manual: Hardware Rev. 2.10 (R01UH0238EJ0210),,,Lot No.
3,,,,,,,All lots
