,#,FILE NAME,DESCRIPTION
1,1,DA1458x_DA1468x_PLT_v4.2.0.160.zip,RELEASE PACKAGE
2,2,DA1458x_DA1468x_PLT_Release_Notes_v4.2.doc,RELEASE NOTES
