,Product Category,MPU/MCU,Document No.,TN-RX *- A131A/E,Rev.,1.00
1,Title,Note on Using Boot Mode (USB Interface),Information Category,Technical Notification,,
2,Applicable Product,Lot No. RX64M Group RX71M Group All,Reference Document,RX64M Group User's Manual: Hardware Rev 1.00 (R01UH0377EJ0100),,
3,,,,RX71M Group User's Manual: Hardware Rev 1.00 (R01UH0493EJ0100),,
