,Product Category,MPU/MCU,Document No.,TN-RA *- A0020A/E,Rev.,1.00,
1,Title,"RA6M3 Group, Note on the number of ADC channels.",Information Category,Technical Notification,,,
2,Applicable Product,RA6M3 Group,Reference Document,RA6M3 Group User's Manual Hardware Rev.1.10,,,Lot No. All
