,Module Name,Reference Page,Remarks
1,ICUb,305,Not present in versions with 64 or 48 pins.
2,,305,"Not present in versions with 112, 100, 64, or 48 pins."
3,,305,
4,,305,Not present in versions with 64 or 48 pins.
5,,305,Not present in versions with 64 or 48 pins.
6,,306,"Not present in versions with 112, 100, 64, or 48 pins."
7,,306,"Not present in versions with 112, 100, 64, or 48 pins."
8,,306,"Not present in versions with 112, 100, 64, or 48 pins."
