,Product Category,MPU/MCU,Document No.,TN-RA *- A0087A/E,Rev.,1.00
1,Title,Addition of usage for Cache,Information Category,Technical Notification,,
2,Applicable Product,"RA6M4 Group, RA6M5 Group, Lot No. RA6E1 Group, RA6E2 Group, RA6T2 Group, RA6T3 Group, RA4M3 Group, RA4E2 Group, All RA4T1 Group",Reference Document,Refer table at the end of this document,,
