,Product Category,MPU/MCU,Document No.,TN-RA *- A0018A/E,Rev.,1.00,
1,Title,"RA6M1 Group, Note on the number of ADC channels.",Information Category,Technical Notification,,,
2,Applicable Product,RA6M1 Group,Reference Document,RA6M1 Group User's Manual Hardware Rev. 1.00,,,Lot No.
3,,,,,,,All
