,Product Category,MPU/MCU,Document No.,TN-RX *- A044A/E,Rev.,1.00,
1,Title,Point for Caution Regarding Interrupts When Using Double Data Registers in Combination in Two-Channel Scan Mode,Information Category,Technical Notification,,,
2,Applicable Product,"RX62T Group, RX62G Group",Reference Document,RX62T Group User's Manual: Hardware RX62G Group User's Manual: Hardware,,,Lot No.
3,,,,,,,All lots
