,Product Category,MPU/MCU,Document No.,TN-RX *- A153A/E,Rev.,1.00,
1,Title,Usage Note on the Option Function Select Register 1 (OFS1),Information Category,Technical Notification,,,
2,Applicable Product,RX113 Group RX111 Group RX110 Group,Reference Document,RX113 Group User's Manual: Hardware Rev.1.10 (R01UH0448EJ0110) RX111 Group User's Manual: Hardware Rev.1.30 (R01UH0365EJ0130) RX110 Group User's Manual: Hardware Rev.1.10 (R01UH0421EJ0110),,,Lot No. All
