,Product part number,Package code,Code flash,Data flash,SRAM,Operating temperature
1,R7FA6M2AF3CLK,PTLG0145KA-A,1MB,32KB,384KB,-40 to +105C
2,R7FA6M2AF3CFB,PLQP0144KA-B,,,,
3,R7FA6M2AF3CFP,PLQP0100KB-B,,,,
4,R7FA6M2AD3CLK,PTLG0145KA-A,512KB,32KB,384KB,-40 to +105degC
5,R7FA6M2AD3CFB,PLQP0144KA-B,,,,
6,R7FA6M2AD3CFP,PLQP0100KB-B,,,,
