,Name,Address,Access size,R/W,Initial value
1,PID4,0x8000_OFDO,32 bits,R,0x00000004
2,PID5,0x8000_0FD4,32 bits,R,0x00000000
3,PID6,0x8000_0FD8,32 bits,R,0x00000000
4,PID7,0x8000_OFDC,32 bits,R,0x00000000
5,PIDO,0x8000_OFE0,32 bits,R,0x00000004
6,PID1,0x8000_OFE4,32 bits,R,0x00000030
7,PID2,0x8000_OFE8,32 bits,R,0x0000000A
8,PID3,0x8000_OFEC,32 bits,R,0x00000000
9,CIDO,0x8000_OFFO,32 bits,R,0x0000000D
10,CID1,0x8000_0FF4,32 bits,R,0x000000FO
11,CID2,0x8000_OFF8,32 bits,R,0x00000005
12,CID3,0x8000_OFFC,32 bits,R,0x000000B1
