,Product part number,Package code,Code flash,Data flash,SRAM
1,R7FA6E10F2CFP,PLQP0100KB-B,1MB,8KB,256KB
2,R7FA6E10F2CFM,PLQP0064KB-C,,,
3,R7FA6E10F2CNE,PWQN0048KC-A,,,
4,R7FA6E10D2CFP,PLQP0100KB-B,512KB,8KB,256KB
5,R7FA6E10D2CFM,PLQP0064KB-C,,,
6,R7FA6E10D2CNE,PWQN0048KC-A,,,
