,Name,Address,Access size,R/W,Initial value
1,PIDR7,0x4001_AFDC,32 bits,R,0x00000000
2,PIDRO,0x4001_AFEO,32 bits,R,0x0000002F
3,PIDR1,0x4001_AFE4,32 bits,R,0x00000030
4,PIDR2,0x4001_AFE8,32 bits,R,0x0000000A
5,PIDR3,0x4001_AFEC,32 bits,R,0x00000000
6,CIDRO,0x4001_AFFO,32 bits,R,0x0000000D
7,CIDR1,0x4001_AFF4,32 bits,R,0x00000010
8,CIDR2,0x4001_AFF8,32 bits,R,0x00000005
9,CIDR3,0x4001_AFFC,32 bits,R,0x000000B1
