,Product Category,MPU/MCU,Document No.,TN-RL *- A076A/E,Rev.,1.00
1,Title,Notice for using RAA604S00,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RAA604S00 All lots,Reference Document,RAA604S00 User's Manual: Hardware Rev.1.20 R01UH0567EJ0120(Nov 2016),,
