,Group,Related Documents,Rev.,Control Code,Section No. for the POE
1,"RX62N, RX621","RX62N Group, RX621 Group User's Manual: Hardware",1.30,R01UH0033EJ0130,19
2,RX62T,RX62T Group User's Manual: Hardware,1.30,R01UH0034EJ0130,17
