,Product Category,MPU/MCU,,Document No.,TN-RA *- A0055A/E,Rev.,1.00
1,Title,"RA6M4 Group, RA6M5 Group, RA4M3 Group, RA6E1 Group, correction of note on Cache specifications",,Information Category,Technical Notification,,
2,Applicable Product,Lot No. RA6M4 Group RA6M5 Group RA4M3 Group All RA6E1 Group,,Reference Document,RA6M4 Group User's Manual Hardware Rev.1.10 RA6M5 Group User's Manual Hardware Rev.1.10 RA4M3 Group User's Manual Hardware Rev.1.20 RA6E1 Group User's Manual Hardware Rev.1.10,,
